asset_id,locator_type,locator,format_hint
asset_02fa613f216621499a96,url,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D090_Range-Fouler-Debrief_Eastern-US_2019.pdf,pdf
asset_042b3e178a68a19cf15c,url,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D089_Range-Fouler-Debrief_Eastern-US_2020.pdf,pdf
asset_04b9179a7637d6ada70b,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a4.png,png
asset_051a07582a23df10d75f,url,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D097_Project-Sign-Progress-Report_1948.pdf,pdf
asset_0542f4f067bf8f9c462e,dvids_video_id,1007810,media
asset_06c5cecc4018786c6100,url,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D041_Digital-Rendering-1_Multiple-Red-Lights_2026.pdf,pdf
asset_07214d7d1343a4b4151b,url,https://www.war.gov/medialink/ufo/071026/release_04/documents/NASA-UAP-D032_STS-80-Unidentified-Object-Image3_1996.jpg,jpg
asset_076e3a3c73273efe4665,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-011-The_Sary_Shagan_Weapons_Testing_Range.pdf,pdf
asset_085c019c9899db9b639a,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d20-mission-report-iraq-2023.pdf,pdf
asset_09001c140b97a5db2f37,url,https://www.war.gov/medialink/ufo/052226/release_02/documents/DOW-UAP-D017_General_Correspondence_Of_Sandia.pdf,pdf
asset_09ab9032c16fbaa28da3,url,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/DOS-UAP-D001_Diplomatic-Cable_Brazil_November-14-1963.pdf,pdf
asset_0a3ee07df37da75c3d5c,dvids_video_id,1007780,media
asset_0a6e8d3efb5832a21978,dvids_video_id,1006056,media
asset_0aa52db3ec97c002c8b7,url,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D032_FD-302_Slow-moving-Objects_2026.pdf,pdf
asset_0afe3cfea622505c7898,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/FBI-UAP-D016_Digital-Rendering_Incident-2-1_Western-US-Event_2023.jpg,jpg
asset_0b298cfc9c65a4d6a8e1,url,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d6-apollo-17-technical-crew-debriefing-1973.pdf,pdf
asset_0be6babdc5eef0fd0d49,dvids_video_id,1006080,media
asset_0d7a23b29e6de1bfbd83,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b8.pdf,pdf
asset_0e3b3ec17a9ae021d21c,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b3.pdf,pdf
asset_0e40c556fc072f293949,url,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D033_FD-302_Thermally-Elevated-Aerial-Object_2026.pdf,pdf
asset_0f025bcbd048e7383044,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/FBI-UAP-D005_FD-1057-04_Northeastern-US_2024.pdf,pdf
asset_0f469fcf6fb428756b05,url,https://www.war.gov/medialink/ufo/052226/release_02/documents/CIA-UAP-D001_Intelligence_Information_Report_USSR_1973.pdf,pdf
asset_0f7ae0d4f1a7e281a3e9,dvids_video_id,1007877,media
asset_108379f8a86dbe9c6dc7,url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_130.pdf,pdf
asset_119385be986584c86319,dvids_video_id,1007738,media
asset_13f86e95aed5284034e2,url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_6.pdf,pdf
asset_15d23b5f88df64fa3728,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d25-mission-report-greece-january-2024.pdf,pdf
asset_16acaeca6d7fe395c45b,dvids_video_id,1014098,media
asset_16fcb501de623b9c39e8,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b13.pdf,pdf
asset_1701a0f3077149210fb7,url,https://www.war.gov/medialink/ufo/release_1/2024-04-30-composite-sketch.pdf,pdf
asset_17a8cc07fd8c694f974c,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d48-report-september-1996.pdf,pdf
asset_189c636246ca98e3e50d,dvids_video_id,1006119,media
asset_19b18b71420602c5d1cb,url,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm3-apollo-12-1969.jpg,jpg
asset_19d8e1d503211c84da48,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b11.pdf,pdf
asset_1b522e779e72877cac51,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-pr20.pdf,pdf
asset_1c2287cdf770e344b64b,url,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D096_Correspondence-Relating-to-Project-Blue-Book_1955.pdf,pdf
asset_1c8e52398945143f9c2f,dvids_video_id,1006079,media
asset_1e63919cc6c3daf43326,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b1.pdf,pdf
asset_1ee8b23bad91c7f521d1,dvids_video_id,1007812,media
asset_1fe32c3a09eebd7baee9,dvids_video_id,1006078,media
asset_205f9d0f627074c3d7c5,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,pdf
asset_213ab63a7aefa8fdbe6c,url,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D093_Analysis-of-Flying-Object-Incidents-in-the-US_1948.pdf,pdf
asset_218e167fbd265d91fbc4,url,https://www.war.gov/medialink/ufo/release_1/342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,pdf
asset_2201422e542ed5975e33,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d54-mission-report-mediterranean-sea-na.pdf,pdf
asset_220c68351534e4c49701,dvids_video_id,1010336,media
asset_239d049dab8c81d50868,url,https://www.war.gov/medialink/ufo/release_1/65_hs1-101634279_100-de-18221_serial_844.pdf,pdf
asset_24ccc8c57ca64ea5e25d,dvids_video_id,1006060,media
asset_24f4178ed9082f2ce7ba,url,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D091_Range-Fouler-Debrief_Atlantic-Ocean_2020.pdf,pdf
asset_260eb5f4eba61b6571ca,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/FBI-UAP-D018_Digital-Rendering_Incident-2-3_Western-US-Event_2023.jpg,jpg
asset_265dfe9ae073885cdfc0,dvids_video_id,1014128,media
asset_2681dbf5da52e042d658,url,https://www.war.gov/medialink/ufo/071026/release_04/documents/NASA-UAP-D030_STS-80-Unidentified-Object-Image1_1996.jpg,jpg
asset_26b02d358ec20061bdf8,url,https://www.war.gov/medialink/ufo/release_1/65_hs1-101634279_100-de-26505.pdf,pdf
asset_279f832719c777c40a2b,dvids_video_id,1007807,media
asset_2873805fdb872968cff5,dvids_video_id,1014116,media
asset_298f24fde4ba76c91e7e,dvids_video_id,1007805,media
asset_29f1035b2cdde6b763c2,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-009-UNKNOWN-FLYING_OBJECTS_OBERVED_OVER_BUDAPEST.pdf,pdf
asset_2b947223739f5bd4108a,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b12.pdf,pdf
asset_2b98fd7cde9b31bc38aa,url,https://www.war.gov/medialink/ufo/071026/release_04/documents/CIA-UAP-D020_Memorandum-on-Unconventional-Aircraft-Sightings_1955.pdf,pdf
asset_2cd799fd0c70eda24dbc,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/FBI-UAP-D001_FD-302_Unresolved-UAP-Report_ColoradoSprings_2022.pdf,pdf
asset_2fd3cd901c2fc8ddfb4c,dvids_video_id,1007719,media
asset_2fecc4f3b434e64d0d46,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d64-mission-report-iran-november-2020.pdf,pdf
asset_303ad110cb5fa8b403b5,url,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm1-apollo-12-1969.jpg,jpg
asset_31064dd56886eae1f7a0,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/FBI-UAP-D008_FD-1057-07_Northeastern-US_2024.pdf,pdf
asset_31e358b5865ba343a657,dvids_video_id,1007803,media
asset_323b9443e6f5ea5650b7,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/DOW-UAP-D078_Notional-Map_Western-United-States-Event.pdf,pdf
asset_338cd38e18cd12576f59,dvids_video_id,1006076,media
asset_338fc4617ee27454c721,dvids_video_id,1007878,media
asset_33cca99659328520a37d,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d8-mission-report-djibouti-2025.pdf,pdf
asset_345b4aada19297b04187,dvids_video_id,1007809,media
asset_34f3278ad20d348fba78,url,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm4-apollo-12-1969.jpg,jpg
asset_3573e64542b2ee2052f3,dvids_video_id,1007741,media
asset_36bcfe2cfb5f3f549700,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b5.pdf,pdf
asset_3746998b8c506e5c28ee,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d33-mission-report-greece-october-2023.pdf,pdf
asset_387063c78161bc012aba,dvids_video_id,1014100,media
asset_3893e5d0279db3b16a01,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a1.png,png
asset_38ee227f22a337728556,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-006_Sighting_of_Unconventional_Aircraft.pdf,pdf
asset_397fd1f1dcbc098a4681,dvids_video_id,1014106,media
asset_39c999bd61b2e20ff79a,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d60-mission-report-persian-gulf-august-2020.pdf,pdf
asset_3a0d83f3e51179dbf64f,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf,pdf
asset_3a5445e8aa7985d41d5e,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b15.pdf,pdf
asset_3b36f3dc3b51cf3bbabd,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b16.pdf,pdf
asset_3b9b39e2c0b96e9f9766,dvids_video_id,1010267,media
asset_3bac5ba8d435df9b3fc0,dvids_video_id,1006073,media
asset_3d997955e4d286271707,dvids_video_id,1014107,media
asset_3deb237b1d68e203bbde,url,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm6-apollo-17-1972.jpg,jpg
asset_3ff42842ffa4456c7b4c,dvids_video_id,1010276,media
asset_408ec5fba997e8babf1a,dvids_video_id,1007722,media
asset_42a4bda7a5d423f56571,dvids_video_id,1007799,media
asset_42b04adcffd9554395e2,dvids_video_id,1014110,media
asset_4382ccbf2a39513d96ca,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d4-mission-report-arabian-gulf-2020.pdf,pdf
asset_43db2719407a789795ab,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d14-mission-report-iraq-may-2022.pdf,pdf
asset_44ab055b332029724ee6,dvids_video_id,1007797,media
asset_4555d94dd6067f57f341,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d16-mission-report-syria-july-2022.pdf,pdf
asset_45588f73ddfaad6d3676,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/FBI-UAP-D020_Digital-Rendering_Incident-2-5_Western-US-Event_2023.jpg,jpg
asset_464f81c988dcee9eff31,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/FBI-UAP-D003_Digital-Rendering_Unresolved-UAP-Report_ColoradoSprings_2022.pdf,pdf
asset_4825c416e6afe55743fe,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-010_REPORT_ON_CONVERSATIONS_WITH_SOVIET_SCIENTISTS_ON_SUBJECT_OF_UNIDENTIFIED_FLYING_OBJECTS_IS_THE_USSR.pdf,pdf
asset_4844321219e306af8703,url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_2.pdf,pdf
asset_48502ae871d53621000e,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/DOW-UAP-D086_USNavy-Report-of-Flying-Discs_1948.pdf,pdf
asset_48e4bc1bdb5a66e87979,url,https://www.war.gov/medialink/ufo/release_1/255_t_763_r1b_transcripts.pdf,pdf
asset_498e116b27257bb2d083,dvids_video_id,1006062,media
asset_4b68726be4af8ff92f2c,url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_220.pdf,pdf
asset_4cf7750d0dd1edd3e73d,url,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D038_Digital-Rendering-1_Multiple-Red-Lights_2026.pdf,pdf
asset_4de77322d7611e8e54cd,dvids_video_id,1017793,media
asset_4ea340f612c3f8c2f094,url,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D026_FD-302_Dark-Translucent-Triangle_2023.pdf,pdf
asset_4f70a2e794c3885476e8,dvids_video_id,1007706,media
asset_505b154b067ebc3a2cc0,dvids_video_id,1007804,media
asset_535eff8dd0d9f0d6f812,dvids_video_id,1014124,media
asset_56bd12ff7be6f4eed78b,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/NASA-UAP-D016_Preliminary-Gemini-4-Crew-Debriefing_Part1_1965.pdf,pdf
asset_573509d830f7acd8c050,dvids_video_id,1007721,media
asset_57e9cc7f9942e2cf279f,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d19-mission-report-syria-february-21-2023.pdf,pdf
asset_5847028ebb855cf8c4c5,url,https://www.war.gov/medialink/ufo/release_1/059uap00012.pdf,pdf
asset_58fcae1aa0e16efae6d7,dvids_video_id,1007734,media
asset_5a0436714939afe42829,dvids_video_id,1007816,media
asset_5a1026673150b72f6631,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-005-GERMAN_SCIENTISTS_ ARTICLE_ON_FLYING_DISCS.pdf,pdf
asset_5a487c793b488382cd35,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a6.png,png
asset_5d9d3147f0b62d0c9d1b,url,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d1-apollo-12-transcript-1969.pdf,pdf
asset_5df2556a0bf6a0d410e4,dvids_video_id,1006097,media
asset_5ecebc7c28a8d8c7aca0,url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_4.pdf,pdf
asset_6058b5fa7922183531bc,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/FBI-UAP-D014_Digital-Rendering_Incident-1-1_Western-US-Event_2023.jpg,jpg
asset_613dc8ef961f9399742d,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a5.png,png
asset_61bbc3ffd5e3bf85b9f4,dvids_video_id,1007737,media
asset_626d8e51b2efc972932f,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-014_British_Activity_in_the_Field_of_Unidentified_Flying_Objects.pdf,pdf
asset_627c78c7c1f0aef75514,dvids_video_id,1010269,media
asset_63c47bad93af4c92e8d9,url,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d5-apollo-17-crew-debriefing-for-science-1973.pdf,pdf
asset_649063bdf590db8b24e7,dvids_video_id,1014123,media
asset_64b4b5770a796616cdee,url,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/CIA-UAP-D023_Briefing-Notes-for-Mr-Walter-Elder.pdf,pdf
asset_65ac8ab1ed9cf6a37a21,dvids_video_id,1014121,media
asset_662eb9fef6e109d2f26c,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/NASA-UAP-D019_Gemini-5-Technical-Debriefing_Part1_1965.pdf,pdf
asset_6689897408b52de102b0,dvids_video_id,1007739,media
asset_669dd29723dd423f683e,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d55-mission-report-syria-november-2016.pdf,pdf
asset_672ae7eab15481ff27b5,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b4.pdf,pdf
asset_67ab3ffef2aecf7080b4,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b2.pdf,pdf
asset_67c2ef13cc69891ccdf9,url,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_153.pdf,pdf
asset_69b6a7094be5c5664803,dvids_video_id,1007718,media
asset_6b8b46e0dc1321c3e98e,dvids_video_id,1007876,media
asset_6bda02c546051f43aa4a,url,https://www.war.gov/medialink/ufo/release_1/341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,pdf
asset_6cbde76b3a5a28576a49,dvids_video_id,1014104,media
asset_6d7faf71150107e94c22,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,pdf
asset_6ded7ef20ded84c7d0ea,url,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b24.pdf,pdf
asset_6fc6419676926f1306f1,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d7-mission-report-arabian-gulf-2020.pdf,pdf
asset_708e854d01c4830a8fe2,dvids_video_id,1007870,media
asset_71758de42a2df926a980,url,https://www.war.gov/medialink/ufo/release_1/dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,pdf
asset_71985f69c0cd6ddc78f7,dvids_video_id,1017788,media
asset_7490415b61026fa315d4,dvids_video_id,1017801,media
asset_752f2613d9284df8f6a9,dvids_video_id,1006074,media
asset_765a28effad5ab93c9e5,url,https://www.war.gov/medialink/ufo/061226/release_03/documents/NASA-UAP-D015_Astronaut-Scientific-Debriefings_1962-1963.pdf,pdf
asset_76e85fd5c91c892e28e0,dvids_video_id,1017799,media
