entry_id,asset_id,source_field
entry_003dca02286e780af10f,asset_7b30733e413497993834,DVIDS Video ID
entry_00a8b83d2d5e598e801e,asset_220c68351534e4c49701,DVIDS Video ID
entry_0177dbb4d82c0471a1d9,asset_b63ef2ea86163e30a6ca,DVIDS Video ID
entry_01acd3ac70fdb551c972,asset_24ccc8c57ca64ea5e25d,DVIDS Video ID
entry_01acd3ac70fdb551c972,asset_4555d94dd6067f57f341,PDF | Image Link
entry_032e94fb8da8021f128f,asset_c97bdc6e2ebaeae66aab,DVIDS Video ID
entry_03b94761819ff9218bc7,asset_ce6997fe4412f46a5ca0,DVIDS Video ID
entry_047251b1c03ba39746e3,asset_672ae7eab15481ff27b5,PDF | Image Link
entry_04ac3b84089fd3ce44a6,asset_aef933642db8134afc0c,PDF | Image Link
entry_062508c308d4d6f14018,asset_7bd99ac64660258e7336,PDF | Image Link
entry_06334173da6f26e4b647,asset_0f7ae0d4f1a7e281a3e9,DVIDS Video ID
entry_06af00e8a441b6b00e37,asset_61bbc3ffd5e3bf85b9f4,DVIDS Video ID
entry_0730c6c7dd137f452133,asset_e277f0b4d0fa62b9228a,PDF | Image Link
entry_0939d554090e1f55115c,asset_408ec5fba997e8babf1a,DVIDS Video ID
entry_0954ddb0ae77cc82150b,asset_af42a6774881c110f58a,PDF | Image Link
entry_09ff9a4916893c28f38d,asset_8d0b85ce46109d06c293,PDF | Image Link
entry_0a2c7135abc19a35bf22,asset_bf08008b8a1aa79e4c4d,PDF | Image Link
entry_0a7d40fcacd2df03608c,asset_fc0449b783373e6a5dd2,DVIDS Video ID
entry_0b40f110c793d283da09,asset_1fe32c3a09eebd7baee9,DVIDS Video ID
entry_0b40f110c793d283da09,asset_ea029a05470b8f4e9695,PDF | Image Link
entry_0c2f003ad8b1da78404c,asset_be533a4ab886eb11d70b,PDF | Image Link
entry_0cec1907397460d7a188,asset_7b2fec96cf493ed7933b,PDF | Image Link
entry_0d325c95da78aeea3678,asset_5a0436714939afe42829,DVIDS Video ID
entry_0d8fcb89c8fb00abccfa,asset_fd342b7508668b0e4400,PDF | Image Link
entry_0e25c219904dcccd1093,asset_1ee8b23bad91c7f521d1,DVIDS Video ID
entry_0e8342e31e0868df44e0,asset_8f0194c6aa176aa9bff1,DVIDS Video ID
entry_0f013a03b2234ab3b0a9,asset_9877727cd0d1bbfe16bd,PDF | Image Link
entry_0f9284b8db58704066e7,asset_6689897408b52de102b0,DVIDS Video ID
entry_0feab45ffad57f27a54d,asset_b1c6f5c4a7fbeee1859d,PDF | Image Link
entry_1138b8e2e13e953eab60,asset_88479e3245f9bf15392d,PDF | Image Link
entry_11ac4fb6dd04cfe1c6e4,asset_cc33e8c352fc80ce309f,PDF | Image Link
entry_11ad73ffdaededdc71b0,asset_2681dbf5da52e042d658,PDF | Image Link
entry_129b285089c174acde2d,asset_fb116547cbbf33d4f7b5,PDF | Image Link
entry_12ae84c00fb7edfbb493,asset_e79fbbee6e2ab8cebd0b,DVIDS Video ID
entry_133b2315e0d7cf6b1131,asset_07214d7d1343a4b4151b,PDF | Image Link
entry_13da6109b24f47208254,asset_9151e15016109463480f,PDF | Image Link
entry_14133ca687194a581b7f,asset_0542f4f067bf8f9c462e,DVIDS Video ID
entry_14d0cfcf8c9f0605cd17,asset_bb4a92ca76ebbda46f84,DVIDS Video ID
entry_14d461d6e914fea3ef59,asset_eba5ecb031e70caf075f,DVIDS Video ID
entry_16011b6672ef29e14c01,asset_67c2ef13cc69891ccdf9,PDF | Image Link
entry_16308024a23f97021c6f,asset_907982561e9075391759,PDF | Image Link
entry_1701c5f6cd14ccd1febd,asset_0a3ee07df37da75c3d5c,DVIDS Video ID
entry_17577da153eb9f2b9038,asset_a83dedef9d19fcb5879a,PDF | Image Link
entry_17c16402f5c3ee0a6270,asset_c568aea24f3aef31d546,PDF | Image Link
entry_17f8546b452ceaa699d9,asset_91887620fa8361e5b21e,PDF | Image Link
entry_186f0ec566d7ffe0d0ab,asset_a814dead4ae07667c59a,PDF | Image Link
entry_1ab82b9f4225830fefa8,asset_95fbfaa113d1acfbeb97,DVIDS Video ID
entry_1b7c81e3a451f3580f29,asset_eda0a3d37c6dbbc3391b,PDF | Image Link
entry_1b826439d99bea22598f,asset_f06dcba3ff0f7714cd8f,DVIDS Video ID
entry_1b9a50fc866674f8fcf1,asset_dde0879e3bd76d2594e1,DVIDS Video ID
entry_1bc4637d7e2c5fa70e56,asset_ad63a61ed36f167c57d5,PDF | Image Link
entry_1cce74750587ab8153bf,asset_aaafecbc47103f4b2460,PDF | Image Link
entry_1cf4739af4852da7cea4,asset_99c12a9c49a91750ef6b,PDF | Image Link
entry_1d3f0cbb70de604cec5a,asset_a8ec637d35fd011e2f48,PDF | Image Link
entry_1dcd06f090c48b04303c,asset_042b3e178a68a19cf15c,PDF | Image Link
entry_1e0ed6ef1a35075ac51a,asset_4f70a2e794c3885476e8,DVIDS Video ID
