pairing_id,source_entry_id,target_entry_id,source_field,raw_reference,resolution_rule
pair_00b58f2e40a57a199dd6,entry_0c2f003ad8b1da78404c,entry_3392aca15255c9d5bd5d,PDF Pairing,FBI Photo B001,exact_normalized_label
pair_0100a5ab682f3ad97e22,entry_f14d03b8c9269830be55,entry_f2a248d43130809d89e8,Video Pairing,DOW-UAP-PR120,exact_normalized_label
pair_015afa8ccf7f0d0f281d,entry_bde92365628e37026666,entry_0d8fcb89c8fb00abccfa,PDF Pairing,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",exact_normalized_label
pair_0354a6942dd7f05642c7,entry_b9e6e8e4626675dd3874,entry_3f3439a6ea8d61e81c1e,Video Pairing,DOW-UAP-PR127,exact_normalized_label
pair_03584e18f5719c9d233e,entry_ad59af9d44615688a44e,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_037791355b328afe7489,entry_5c366c9f409feb825372,entry_f6058963dd5730e81f85,Video Pairing,PR-031,unique_portal_pr_shorthand
pair_0408aeab336b6886bd0d,entry_0d8fcb89c8fb00abccfa,entry_7d8033080a7c69283cd8,PDF Pairing,FBI Photo B012,exact_normalized_label
pair_0468baf572180dcc36c0,entry_608354d6f1a7a88edfd6,entry_efcf8563cd11394c63b7,PDF Pairing,DOW-UAP-D079,exact_normalized_label
pair_0595a3058fdd8816009e,entry_0d8fcb89c8fb00abccfa,entry_c68a27411ae487e7d805,PDF Pairing,FBI Photo B014,exact_normalized_label
pair_05d5ffef5ab1fc4cdbe8,entry_fb1c683a5adb0cb2109e,entry_e4b81855e1e6e65ad046,PDF Pairing,FBI-UAP-D019,exact_normalized_label
pair_0793ba3bd6c6bb7cc804,entry_0c2f003ad8b1da78404c,entry_8cbd9ba356f930b8fa15,PDF Pairing,FBI Photo A001,exact_normalized_label
pair_0807572d1aec91db25a7,entry_fb1c683a5adb0cb2109e,entry_ed950eea4fe4b57464b3,PDF Pairing,FBI-UAP-D018,exact_normalized_label
pair_0da98038706578f24e25,entry_a935d8785a33c0bc13e3,entry_e13b616d3cdf57289fff,Video Pairing,DOW-UAP-PR112,exact_normalized_label
pair_0ec674c309adc84abf60,entry_0c2f003ad8b1da78404c,entry_3417720dabb446f7456b,PDF Pairing,FBI Photo A008,exact_normalized_label
pair_0fae228a6d4351e7f039,entry_0c2f003ad8b1da78404c,entry_047251b1c03ba39746e3,PDF Pairing,FBI Photo B004,exact_normalized_label
pair_11e16881819e5a6b85de,entry_0c2f003ad8b1da78404c,entry_350c329b0aeb535daccd,PDF Pairing,FBI Photo B022,exact_normalized_label
pair_14a9faa94f27fa6c6b43,entry_d949d1cec8d432e380e5,entry_3919f2504491b09c0a70,Video Pairing,DOW-UAP-PR121,exact_normalized_label
pair_179312c30d3fb2d9b281,entry_8cbd9ba356f930b8fa15,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_179cb61254de3d946cf2,entry_0d8fcb89c8fb00abccfa,entry_d4347cdd72eee00ae9c2,PDF Pairing,FBI Photo A005,exact_normalized_label
pair_180f2317191281c530ad,entry_51b73d5a0a5cb1984542,entry_11ad73ffdaededdc71b0,PDF Pairing,NASA-UAP-D030,exact_normalized_label
pair_1817cbace17d8fdb2d6a,entry_335997e4de6cc3e8559f,entry_09ff9a4916893c28f38d,PDF Pairing,Western US Event,exact_normalized_label
pair_1845f216b695388b829c,entry_0177dbb4d82c0471a1d9,entry_cde9a077250c1a081632,Video Pairing,DOW-UAP-PR117,exact_normalized_label
pair_193d3b82c2ff096db4e0,entry_5d142ec912684ada6208,entry_0d8fcb89c8fb00abccfa,PDF Pairing,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",exact_normalized_label
